SpeciesID,StateClassID,Value,,,,,,IsAutoName
Pacific fisher,Agriculture: Cropland,100,,,,,,
Pacific fisher,Agriculture: Pasture,100,,,,,,
Pacific fisher,Barren: All,100,,,,,,
Pacific fisher,Developed: High Intensity,1000,,,,,,
Pacific fisher,Developed: Low Intensity,1000,,,,,,
Pacific fisher,Developed: Medium Intensity,1000,,,,,,
Pacific fisher,Developed: Open Space,1000,,,,,,
Pacific fisher,Developed: Transportation,1000,,,,,,
Pacific fisher,Forest: Alder/Maple Group,10,,,,,,
Pacific fisher,Forest: Aspen/Birch Group,10,,,,,,
Pacific fisher,Forest: California Mixed Conifer Group,10,,,,,,
Pacific fisher,Forest: Douglas-fir Group,10,,,,,,
Pacific fisher,Forest: Elm/Ash/Cottonwood Group,10,,,,,,
Pacific fisher,Forest: Exotic Hardwoods Group,10,,,,,,
Pacific fisher,Forest: Exotic Softwoods Group,10,,,,,,
Pacific fisher,Forest: Fir/Spruce/Mountain Hemlock Group,10,,,,,,
Pacific fisher,Forest: Hemlock/Sitka Spruce Group,10,,,,,,
Pacific fisher,Forest: Loblolly/Shortleaf Pine Group,10,,,,,,
Pacific fisher,Forest: Lodgepole Pine Group,10,,,,,,
Pacific fisher,Forest: Longleaf/Slash Pine Group,10,,,,,,
Pacific fisher,Forest: Maple/Beech/Birch Group,10,,,,,,
Pacific fisher,Forest: Oak/Gum/Cypress Group,10,,,,,,
Pacific fisher,Forest: Oak/Hickory Group,10,,,,,,
Pacific fisher,Forest: Oak/Pine Group,10,,,,,,
Pacific fisher,Forest: Other Western Hardwoods Group,10,,,,,,
Pacific fisher,Forest: Other Western Softwood Group,10,,,,,,
Pacific fisher,Forest: Pinyon/Juniper Group,10,,,,,,
Pacific fisher,Forest: Ponderosa Pine Group,10,,,,,,
Pacific fisher,Forest: Redwood Group,10,,,,,,
Pacific fisher,Forest: Spruce/Fir Group,10,,,,,,
Pacific fisher,Forest: Tanoak/Laurel Group,10,,,,,,
Pacific fisher,Forest: Tropical Hardwoods Group,10,,,,,,
Pacific fisher,Forest: Western Larch Group,10,,,,,,
Pacific fisher,Forest: Western Oak Group,10,,,,,,
Pacific fisher,Forest: Western White Pine Group,10,,,,,,
Pacific fisher,Forest: White/Red/Jack Pine Group,10,,,,,,
Pacific fisher,Grassland: All,10,,,,,,
Pacific fisher,Shrubland: All,10,,,,,,
Pacific fisher,Shrubland: Post Fire Shrub,10,,,,,,
Pacific fisher,Snow/Ice: All,1000,,,,,,
Pacific fisher,Water: All,1000,,,,,,
Pacific fisher,Wetland: Herbaceous,10,,,,,,
Pacific fisher,Wetland: Woody,10,,,,,,
